First_name,Last_name,PNR,Fare_class,Travel_date,Pax,Ticketing_date,Email,Mobile_phone,Booked_cabin
Abhishek,Kumar,ABC123,F,2019-05-31,2,2019-05-31,abhishek@zzz.com,9876543210,Economy
Monin,Sankar,PQ234,C,2019-08-30,2,2019-05-22,monin@zzz.com,9876543211,Economy
Radhika,Suresh,ZZZ345,T,2019-05-31,4,2019-05-21,radhika@zzz,9876543212,Business
Kalyani,Ben,A1B2C3,M,2019-04-30,1,2019-05-21,kben@zzz.com,9876543213,Premium Economy
Somnath,Batra,X1Y2Z4,Z,2019-07-25,3,2019-05-23,sbatra@zzz.com,9876543214,Economy
Arvind,Kuppusamy,ABC324,A,2021-07-26,2,2021-05-23,arvind-kt@gmail.com,9786852222,Economy
Ashok,Kumar,ABC323,A,2021-03-26,2,2021-05-23,ashok.kumar@gmail.com,9767562112,Premium Economy
Prem,Kumar,AAA345,T,2019-05-22,4,2019-05-21,prem@zzz.org,9659891122,Business
Jaya,Kumar,PSR111,T,2019-03-31,4,2019-01-21,jaya@zzz.org,97865436212,Other
arvind,Kumar,ASDF11,T,2019-03-31,4,2019-01-21,arvind@zzz.org,9786543621,Economy
